source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp
137333365999306624,45.003085437246824,35.31421814401729,0.22561767660747395,19.339882,1.5669289
137339486325672704,45.10751729369523,35.33991028047406,0.7606051196470217,16.986778,1.2314901
137340718981261568,45.24663443870708,35.41248285443802,0.5544725570149771,18.530119,1.5711594
137340723276237440,45.252041556600155,35.403772818047784,0.9306552902561916,14.660485,0.9576769
137340890779951616,45.19481057433486,35.41212120144094,1.0460471703667829,20.344744,1.7632942
137342093370833408,45.189956475248366,35.47635769128946,4.244955046134194,17.335745,2.6273994
137346044740636288,44.91259905408636,35.33230055607528,0.14840931350302194,20.451077,0.68660736
137346392632994944,44.88126694656205,35.36790867120019,1.4176575044135513,13.665539,0.88663006
137346422699049984,44.88900267871439,35.38122111855904,0.3387715959515378,20.70596,0.62358856
137346564431685120,44.909108932055474,35.39570786644962,3.1615724382556794,15.698613,1.9678555
137348965318434432,44.85760093551953,35.37294630756399,1.716800506165299,19.786932,1.2238159
137349377635308288,44.88081062012283,35.390063716998846,1.1047462688069172,19.24566,2.107256
137349446354787328,44.87086707685871,35.392973473299044,0.47624971411308353,19.272678,0.9419079
137349519369183744,44.9100658705783,35.41108417650945,1.0952222740245152,15.593032,1.1505556
137349553727756032,44.88108221241528,35.41424196303574,0.40589889163183307,20.238478,
137349691167876864,44.83895496298235,35.40867791320502,1.420701278608027,14.612195,1.0488949
137350889463849472,44.84004707723305,35.47398480327062,2.373568805839545,17.656832,2.4804993
137351267420889600,44.97919963364718,35.351432257922916,0.6839242447398178,20.26322,1.4530163
137351267420897408,44.975623400942695,35.36163452551048,0.2598471468402207,18.178473,0.9474144
137351752752261504,45.057073610328416,35.41262342136346,1.03945861059927,15.460941,1.1342373
137351890191217408,45.01455699898121,35.40734318757638,6.623565608145502,16.256985,
137352092054630656,44.95622568448783,35.377827795313266,0.5406858029569808,17.777971,1.2863197
137352126414374784,44.96121765714752,35.384823185810816,0.5092601066143468,20.796427,1.153986
137352366932554112,44.94247626559141,35.40005073891906,0.2518542765436971,20.379309,1.5278187
137352646104384384,45.00153091000312,35.4299906583623,0.35039801184059116,19.222103,0.9837856
137352744889708032,44.99988421802316,35.44961091451275,1.0682415418790911,19.707832,2.4762936
137353157206591616,44.99545174379653,35.48639727873605,1.056673685388998,20.00999,1.6290874
137353500803954944,45.08325159835865,35.452839087238736,0.3816461409271139,19.135155,0.95552635
137353603883419648,45.08227649941725,35.462295929985764,1.2318949362641314,20.512573,1.9623508
137354742049484288,45.055706403186456,35.53283633607214,0.3463301976787179,15.830835,0.86679554
137354978272744832,45.10580192810386,35.53308385323891,1.457824222318447,18.327627,2.1708717
137355257445557504,45.09144974797411,35.56512394041309,0.07755122712122269,20.026592,1.9445782
137355601042872448,44.925314487461044,35.45914095753475,0.01800320750383789,19.915382,2.0716133
137356150798682240,44.96985790146604,35.50510801333747,0.48194673988078396,17.943188,1.3054256
137356253877897728,44.95327372131717,35.49919671047026,0.3918771927897659,16.208704,1.0657797
137356283942785664,44.92049156259183,35.49482033842266,0.46262903925173793,19.8681,2.1502666
137356352662271616,44.960885131657065,35.51141183860525,0.09587294408857025,17.942202,1.1463356
137356563115545728,44.85727401155388,35.488507152377565,3.7137555273860836,15.888798,2.1812963
137357147231094656,44.91490855637796,35.53256054546082,1.0743291535228117,17.11407,1.6108761
137357761411556736,45.029965374950955,35.545680476802616,0.006172404493707619,19.132792,1.0268192
137357765706460288,45.02505567161462,35.547299523478486,0.1578820083016119,19.958372,1.1844959
137358349821933312,45.05255930291697,35.59405366666974,0.8578592138124708,14.786365,1.0881338
137358448606336896,45.03683359409852,35.58852977513793,0.057467991124321605,18.828463,1.1396294
137359414973821312,45.031341803581164,35.64636117652459,0.34449963709652914,15.6430025,0.9050665
138757856325682944,46.94100444429516,36.165772287325424,0.4189965211957284,16.537611,1.0233793
138763109070312320,46.99225254367754,36.18863086586508,0.07004588928916633,17.444473,1.2867393
138765548611771520,47.1587420226389,36.31180311657101,0.03788759798613146,18.35965,1.0461788
138765789129941504,47.127430445406944,36.322810038172605,0.08798656615901823,19.798546,2.040577
138765999582216704,47.143870751896266,36.36275817025977,0.09043557276423449,20.26124,2.0324078
138766132727323264,47.056285899036844,36.307359369760356,0.45495175780458275,18.046455,1.0023232
138800114508668928,45.61580445865875,35.574486611543946,0.1541989944497828,19.929195,2.0885334
138802008589650304,45.710905339407745,35.63478389165756,1.7954526765756544,16.825974,1.990037
138819703854470784,46.22203102918814,35.83121716274606,1.1565838652033549,20.582615,1.3927898
138819871357608320,46.222788392700885,35.84585656627177,0.5475863055234237,19.197912,1.4894409
138823650928673024,45.92506782450017,35.69489025562084,0.7251413237033212,18.549301,2.1110344
138824136261337472,45.94062159200369,35.7280719610266,0.6216109351221863,17.593342,1.5042648
138825025318182016,45.86040030043512,35.66973077952072,0.7663893174514264,16.564991,1.447917
138825231478999168,45.79652953320598,35.68308073081718,0.46524356890343904,17.164265,1.2772598
138825304492230784,45.83758493699549,35.68852485175178,1.5378696476764595,14.839119,1.4555893
138825403275344384,45.837476675549965,35.71497644497511,0.6512958967536818,19.289646,1.2538033
138827052542828416,45.88166626327403,35.757357745601745,0.19929522871111172,18.203924,1.4045048
138827056839096064,45.87974639633427,35.760412066996714,0.6699860347531036,20.069344,1.1790199
138827121262300544,45.93652253496858,35.751431209493184,0.061568123316209505,17.595488,1.6755848
138827602298696704,45.92718226451732,35.80647019377017,0.8224477770197439,20.124401,2.051218
138828190710211840,45.87859221111277,35.79396286986644,0.812947575097123,19.462528,2.3062172
138829732602471808,46.11240924501286,35.79839654377004,0.05974026496886114,20.221437,1.1658745
138830248000877952,46.01258979082385,35.78670167558388,2.6770646418850514,19.383072,2.6008759
138831283086898176,46.10891265842426,35.81429030782131,0.34466344846486335,19.118382,1.9794044
138831656747892352,46.216987353900166,35.87081097620313,0.5241189124446053,20.544445,1.5912819
138831661044008704,46.22980465351128,35.86936944145246,0.21663921453866114,19.511015,2.0394497
138831965985564288,46.178627228592916,35.90033767498575,2.5422489909700388,19.833454,2.7221642
138832554397208192,46.09811219042934,35.895161679219036,0.717819185993582,19.294369,1.4347515
138833821411397248,46.03769762548574,35.863670496428725,0.4890546505327193,19.310324,2.1330643
138834444182829312,45.935003733706374,35.86199057540204,0.1831148498199509,17.984545,1.3199596
138834714764619648,45.90245665337159,35.89337808701544,0.9805821742784515,16.309525,1.3018599
138834852203571200,45.96446413026311,35.89048310214962,2.367574530364366,19.584747,2.669815
138835165737058560,45.93768866378842,35.92679163788979,0.18273414992548562,19.840475,1.19281
138835578054181760,46.079338675274116,35.92605954877076,0.8385484188631612,19.916706,1.1857204
138836608846331136,46.041024020136014,35.956527837471995,0.5001937703692927,16.680355,1.1440887
138836913787953408,45.998643615674304,35.9743012025556,0.2566790923249951,18.30104,1.1200409
138838945308508800,45.29355235520494,35.4133001960192,2.2601863235484547,19.733637,2.6030445
138839593847971712,45.34765757263026,35.46227347002222,0.6153602918930726,18.781761,1.3601456
138841968965480704,45.26906077130849,35.438257665453584,0.3766620402142058,16.699593,0.9177551
138842793599184640,45.292410374081086,35.49514697111828,1.111622154540905,20.162271,2.2747478
138844064909484160,45.24850914018778,35.569437319806504,0.36536519461659367,18.031773,1.0271244
138844129333478016,45.352221984621934,35.52096286685307,1.1802673821511513,18.363844,2.1387978
138844271067913600,45.377655016137446,35.53349947941226,0.8366829143145167,14.228884,0.9217844
138844301132194304,45.38485054874345,35.55439752077103,0.27035689257945705,18.394968,1.1426373
138845022686723968,45.35894962269052,35.591357522571904,0.44792912333442386,19.887594,2.0235157
138845164421082368,45.37482470075899,35.617180878271924,1.6748618315472423,13.934189,1.0753202
138845301860061952,45.29938478823405,35.564695040442516,0.42769261118552104,17.351425,1.0919914
138845473658734464,45.33875163269229,35.604911900575544,0.10847270171148213,17.755112,0.9227543
138845542378221440,45.30176114754534,35.58910382585725,0.23916014573229305,18.346642,0.9960823
138845576737960704,45.273412883164745,35.5946179643219,0.6539235657873808,15.693728,1.0663605
138846057774280960,45.322278513867026,35.63083653885473,0.6000158724487851,16.54289,1.0230217
138846916767734528,45.58437504073311,35.56568567587089,1.0800404982122322,17.432869,1.6708221
138846985487207808,45.568353201801855,35.57909288809939,0.3678890037526894,16.959118,1.1542511
138847466523558272,45.49921004891005,35.56598002530098,0.3652291233689498,17.658442,1.1154633
138847634026845440,45.50244685504686,35.595373723267066,2.1732244545372748,19.34062,2.820177
138848256797519232,45.50932791607803,35.62396361036058,0.06871606471531634,17.853464,0.9553604
138850180943401728,45.61914941811594,35.70120717978166,0.4813419634042272,18.542898,1.9524708
